,brand,ram,storage,battery,charging,price
524,Cubot,4.0,64.0,4000.0,18.0,5990000.0
525,HomTom,4.0,64.0,5000.0,18.0,6490000.0
526,Ulefone,6.0,64.0,5000.0,18.0,7990000.0
527,Blackview,4.0,64.0,6580.0,18.0,7490000.0
528,Leagoo,3.0,32.0,3000.0,10.0,4490000.0
529,Doogee,4.0,64.0,4500.0,18.0,5990000.0
530,Oukitel,4.0,64.0,4000.0,18.0,6990000.0
531,Ulefone,8.0,128.0,5500.0,18.0,9990000.0
532,Bluboo,3.0,32.0,3000.0,10.0,3990000.0
533,HomTom,3.0,32.0,4000.0,10.0,4490000.0
534,Doogee,1.0,16.0,3000.0,5.0,2490000.0
535,Ulefone,2.0,16.0,3500.0,5.0,2490000.0
